Total unique genes matched: 23
Unique genes (alphabetical order):
ace2 (2541661)
cdc7 (2540660)
cnd1 (2541201)
cog6 (2541207)
gga22 (2540570)
hsk1 (2541165)
kgd2 (2541170)
lcl3 (2540556)
mcs6 (2540471)
med8 (2540761)
meu22 (2540779)
nup189 (2541547)
plh1 (2541187)
pmh1 (2540684)
ppk24 (2540596)
rpl2801 (2541130)
rps401 (2540649)
rrp7 (2541174)
spn7 (2540413)
thi1 (2541581)
trs120 (2542375)
tsr401 (2540619)
yap18 (2540702)

Unique genes matched on chromosome NC_032089.1: 12
Unique genes matched on chromosome NC_032090.1: 11
Unique genes matched on chromosome NC_032091.1: 6
Unique genes matched on chromosome NC_032092.1: 6
Unique genes matched on chromosome NC_032093.1: 6
Unique genes matched on chromosome NC_032094.1: 5
Unique genes matched on chromosome NC_032095.1: 6
Unique genes matched on chromosome NC_032096.1: 10

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_032089.1                                       3639535                                           PUT3                                              1494130                                           1497066                                           XM_713700.1                                       65                                                2.00e-11                                          73/306                                            2937                                              775                                               Query= 2541581|NP_594098.2|chromosome II|thi1|1|3211872|3214508|N/A|775|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[280, 551, '73/306 (24%)', '127/306 (42%)', 65.9, '2e-11']]
NC_032090.1                                       3643003                                           Unknown                                           540983                                            541825                                            XM_710282.1                                       73                                                4.00e-16                                          70/276                                            843                                               238                                               Query= 2541174|NP_596333.2|chromosome II|rrp7|1|3211330|3212273|N/A|238|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[7, 238, '70/276 (25%)', '125/276 (45%)', 73.6, '4e-16']]
NC_032093.1                                       3644115                                           TFB3                                              158181                                            159323                                            XM_019475407.1                                    162                                               6.00e-48                                          73/132                                            1083                                              318                                               Query= 2540684|NP_596334.1|chromosome II|pmh1|-1|3211190|3213715|N/A|318|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[13, 140, '73/132 (55%)', '101/132 (77%)', 162.0, '6e-48']]
NC_032096.1                                       3646036                                           KGD2                                              1609157                                           1610482                                           XM_707240.2                                       431                                               1.00e-149                                         230/423                                           1326                                              452                                               Query= 2541170|NP_596331.1|chromosome II|kgd2|-1|3206575|3208732|N/A|452|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[37, 452, '230/423 (54%)', '286/423 (68%)', 431.0, '1e-149']]
NC_032095.1                                       3636986                                           LAT1                                              352678                                            354111                                            XM_716304.1                                       116                                               9.00e-29                                          76/233                                            1434                                              452                                               Query= 2541170|NP_596331.1|chromosome II|kgd2|-1|3206575|3208732|N/A|452|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[223, 451, '76/233 (33%)', '128/233 (55%)', 116.0, '9e-29']]
NC_032089.1                                       3639356                                           LRO1                                              170158                                            172254                                            XM_713887.2                                       567                                               0.0                                               303/637                                           2097                                              632                                               Query= 2541187|NP_596330.2|chromosome II|plh1|1|3204399|3208234|N/A|632|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[34, 627, '303/637 (48%)', '411/637 (65%)', 567.0, '0.0']]
NC_032090.1                                       3645196                                           YCS4                                              1524598                                           1528116                                           XM_708047.2                                       779                                               0.0                                               445/1189                                          3519                                              1158                                              Query= 2541201|NP_596329.1|chromosome II|cnd1|1|3200087|3203985|N/A|1158|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[20, 1156, '445/1189 (37%)', '689/1189 (58%)', 779.0, '0.0']]
NC_032091.1                                       3642281                                           Unknown                                           1463534                                           1466824                                           XM_711001.1                                       148                                               3.00e-36                                          127/393                                           3291                                              1807                                              Query= 2541547|NP_001417946.1|chromosome II|nup189|1|3196964|3202449|N/A|1807|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[608, 962, '127/393 (32%)', '194/393 (49%)', 148.0, '3e-36'], [186, 256, '40/71 (56%)', '49/71 (69%)', 75.5, '7e-14']]
NC_032092.1                                       3647413                                           Unknown                                           1120763                                           1125010                                           XM_705903.2                                       98                                                7.00e-21                                          71/205                                            4248                                              1807                                              Query= 2541547|NP_001417946.1|chromosome II|nup189|1|3196964|3202449|N/A|1807|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[789, 977, '71/205 (35%)', '103/205 (50%)', 98.6, '7e-21']]
NC_032090.1                                       3643424                                           CDC7                                              1093474                                           1095444                                           XM_709827.1                                       290                                               3.00e-91                                          167/469                                           1971                                              507                                               Query= 2541165|NP_596328.1|chromosome II|hsk1|-1|3197059|3199200|N/A|507|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[54, 434, '167/469 (36%)', '238/469 (51%)', 290.0, '3e-91']]
NC_032090.1                                       3643444                                           CKA2                                              1038614                                           1039603                                           XM_709796.2                                       104                                               3.00e-25                                          89/372                                            990                                               507                                               Query= 2541165|NP_596328.1|chromosome II|hsk1|-1|3197059|3199200|N/A|507|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[64, 433, '89/372 (24%)', '151/372 (41%)', 104.0, '3e-25']]
NC_032096.1                                       3639018                                           CKA1                                              2257148                                           2258155                                           XM_714318.2                                       97                                                7.00e-23                                          89/374                                            1008                                              507                                               Query= 2541165|NP_596328.1|chromosome II|hsk1|-1|3197059|3199200|N/A|507|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[65, 433, '89/374 (24%)', '153/374 (41%)', 97.8, '7e-23']]
NC_032096.1                                       3642459                                           CEK2                                              1244534                                           1245652                                           XM_710801.2                                       77                                                9.00e-16                                          90/381                                            1119                                              507                                               Query= 2541165|NP_596328.1|chromosome II|hsk1|-1|3197059|3199200|N/A|507|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[102, 462, '90/381 (24%)', '151/381 (40%)', 77.0, '9e-16']]
