Total unique genes matched: 29
Unique genes (alphabetical order):
DCC1 (3638037)
DFI1 (3638038)
FGR2 (3637988)
GBP2 (3637992)
GLN4 (3637998)
HGT12 (3638048)
HGT13 (3638047)
LEU2 (3638034)
MAC1 (3637985)
N/A (3637977)
N/A (3637978)
N/A (3637986)
N/A (3637987)
N/A (3637990)
N/A (3637991)
N/A (3637993)
N/A (3638001)
N/A (3638032)
N/A (3638033)
N/A (3638036)
N/A (3638039)
N/A (3638040)
N/A (3638042)
N/A (3638045)
N/A (3638046)
PEL1 (3637989)
PMR1 (3638043)
PSF3 (3637999)
SPL1 (3638035)

Unique genes matched on chromosome NC_032089.1: 7
Unique genes matched on chromosome NC_032090.1: 6
Unique genes matched on chromosome NC_032091.1: 5
Unique genes matched on chromosome NC_032092.1: 4
Unique genes matched on chromosome NC_032093.1: 5
Unique genes matched on chromosome NC_032094.1: 2
Unique genes matched on chromosome NC_032095.1: 29
Unique genes matched on chromosome NC_032096.1: 7

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_032095.1                                       3638035                                           SPL1                                              62478                                             63944                                             XM_715279.1                                       889                                               0.0                                               487/488                                           1467                                              488                                               Query= 3638035|XP_720372.1|chromosome NC_032095.1|SPL1|1|62477|63943|N/A|488|No description available                                                                                                                                                                                                                                                                                                                                                                                                               [[1, 488, '487/488 (99%)', '487/488 (99%)', 889.0, '0.0']]
NC_032095.1                                       3638036                                           Unknown                                           61437                                             62255                                             XM_715280.1                                       561                                               0.0                                               271/272                                           819                                               272                                               Query= 3638036|XP_720373.1|chromosome NC_032095.1|N/A|1|61436|62254|N/A|272|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[1, 272, '271/272 (99%)', '271/272 (99%)', 561.0, '0.0']]
NC_032093.1                                       3636413                                           SFC1                                              977029                                            977940                                            XM_716748.2                                       104                                               5.00e-27                                          82/287                                            912                                               272                                               Query= 3638036|XP_720373.1|chromosome NC_032095.1|N/A|1|61436|62254|N/A|272|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[9, 267, '82/287 (29%)', '125/287 (44%)', 104.0, '5e-27']]
NC_032096.1                                       3648238                                           Unknown                                           1165883                                           1166743                                           XM_705071.1                                       85                                                6.00e-20                                          73/276                                            861                                               272                                               Query= 3638036|XP_720373.1|chromosome NC_032095.1|N/A|1|61436|62254|N/A|272|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[1, 256, '73/276 (26%)', '122/276 (44%)', 85.5, '6e-20']]
NC_032089.1                                       3642487                                           MTM1                                              1149114                                           1150163                                           XM_710759.2                                       85                                                9.00e-20                                          68/247                                            1050                                              272                                               Query= 3638036|XP_720373.1|chromosome NC_032095.1|N/A|1|61436|62254|N/A|272|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[39, 261, '68/247 (28%)', '117/247 (47%)', 85.9, '9e-20']]
NC_032090.1                                       3643798                                           Unknown                                           1967507                                           1968607                                           XM_709472.2                                       84                                                3.00e-19                                          75/287                                            1101                                              272                                               Query= 3638036|XP_720373.1|chromosome NC_032095.1|N/A|1|61436|62254|N/A|272|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[11, 266, '75/287 (26%)', '120/287 (42%)', 84.3, '3e-19']]
NC_032090.1                                       3642306                                           MRS4                                              1638718                                           1639695                                           XM_710926.1                                       79                                                1.00e-17                                          82/291                                            978                                               272                                               Query= 3638036|XP_720373.1|chromosome NC_032095.1|N/A|1|61436|62254|N/A|272|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[10, 261, '82/291 (28%)', '132/291 (45%)', 79.7, '1e-17']]
NC_032092.1                                       3645741                                           Unknown                                           146312                                            147412                                            XM_707520.1                                       77                                                6.00e-17                                          87/316                                            1101                                              272                                               Query= 3638036|XP_720373.1|chromosome NC_032095.1|N/A|1|61436|62254|N/A|272|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[10, 266, '87/316 (28%)', '128/316 (41%)', 77.8, '6e-17']]
NC_032089.1                                       3636219                                           AGC1                                              2919985                                           2922180                                           XM_717083.2                                       77                                                1.00e-16                                          84/303                                            2196                                              272                                               Query= 3638036|XP_720373.1|chromosome NC_032095.1|N/A|1|61436|62254|N/A|272|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[9, 270, '84/303 (28%)', '132/303 (44%)', 77.4, '1e-16']]
NC_032091.1                                       3635193                                           ARG11                                             990298                                            991251                                            XM_718045.1                                       69                                                3.00e-14                                          55/229                                            954                                               272                                               Query= 3638036|XP_720373.1|chromosome NC_032095.1|N/A|1|61436|62254|N/A|272|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[13, 215, '55/229 (24%)', '103/229 (45%)', 69.7, '3e-14']]
NC_032090.1                                       3645448                                           RIM2                                              946908                                            948107                                            XM_707832.1                                       65                                                1.00e-12                                          73/317                                            1200                                              272                                               Query= 3638036|XP_720373.1|chromosome NC_032095.1|N/A|1|61436|62254|N/A|272|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[10, 262, '73/317 (23%)', '125/317 (39%)', 65.1, '1e-12']]
NC_032090.1                                       3637330                                           Unknown                                           877101                                            878081                                            XM_715835.2                                       63                                                4.00e-12                                          57/231                                            981                                               272                                               Query= 3638036|XP_720373.1|chromosome NC_032095.1|N/A|1|61436|62254|N/A|272|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[9, 211, '57/231 (25%)', '97/231 (42%)', 63.5, '4e-12']]
NC_032096.1                                       3640112                                           CRC1                                              431374                                            432228                                            XM_713171.1                                       62                                                5.00e-12                                          71/282                                            855                                               272                                               Query= 3638036|XP_720373.1|chromosome NC_032095.1|N/A|1|61436|62254|N/A|272|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[9, 266, '71/282 (25%)', '116/282 (41%)', 62.8, '5e-12']]
NC_032091.1                                       3635141                                           CTP1                                              886986                                            887941                                            XM_019475315.1                                    62                                                9.00e-12                                          71/281                                            885                                               272                                               Query= 3638036|XP_720373.1|chromosome NC_032095.1|N/A|1|61436|62254|N/A|272|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[9, 260, '71/281 (25%)', '112/281 (40%)', 62.4, '9e-12']]
NC_032089.1                                       3644474                                           YMC1                                              1545381                                           1546280                                           XM_708798.1                                       60                                                3.00e-11                                          63/259                                            900                                               272                                               Query= 3638036|XP_720373.1|chromosome NC_032095.1|N/A|1|61436|62254|N/A|272|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[9, 243, '63/259 (24%)', '109/259 (42%)', 60.5, '3e-11']]
NC_032095.1                                       3638037                                           DCC1                                              60279                                             61298                                             XM_715281.1                                       692                                               0.0                                               339/339                                           1020                                              339                                               Query= 3638037|XP_720374.1|chromosome NC_032095.1|DCC1|1|60278|61297|N/A|339|No description available                                                                                                                                                                                                                                                                                                                                                                                                               [[1, 339, '339/339 (100%)', '339/339 (100%)', 692.0, '0.0']]
