Total unique genes matched: 24
Unique genes (alphabetical order):
alg9 (2542331)
apl5 (2542857)
aro1 (2542115)
cdc45 (2542266)
cia2 (2542897)
cis4 (2542250)
gpn2 (2542899)
gwt1 (2542825)
hhf1 (2542463)
hht1 (2542467)
irc20 (2542902)
klp3 (2542195)
klp8 (2542849)
mak1 (2542119)
mug51 (2542159)
N/A (2542894)
pex7 (5802962)
pmo25 (2542388)
rki1 (2542821)
rps1102 (2542904)
sec18 (2542410)
sfc2 (2542887)
spe1 (2542855)
vrg4 (2542850)

Unique genes matched on chromosome NC_032089.1: 10
Unique genes matched on chromosome NC_032090.1: 10
Unique genes matched on chromosome NC_032091.1: 7
Unique genes matched on chromosome NC_032092.1: 6
Unique genes matched on chromosome NC_032093.1: 4
Unique genes matched on chromosome NC_032094.1: 1
Unique genes matched on chromosome NC_032095.1: 4
Unique genes matched on chromosome NC_032096.1: 10

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_032089.1                                       3641768                                           VRG4                                              1674155                                           1675270                                           XM_711447.2                                       394                                               1.00e-137                                         195/308                                           1116                                              345                                               Query= 2542850|NP_594679.1|chromosome I|vrg4|1|4690140|4691827|N/A|345|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[8, 310, '195/308 (63%)', '241/308 (78%)', 394.0, '1e-137']]
NC_032095.1                                       3637018                                           Unknown                                           547659                                            548327                                            XM_716205.2                                       159                                               3.00e-50                                          84/152                                            669                                               179                                               Query= 2542897|NP_594677.1|chromosome I|cia2|1|4686489|4688885|N/A|179|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[38, 178, '84/152 (55%)', '111/152 (73%)', 159.0, '3e-50']]
NC_032089.1                                       3644572                                           Unknown                                           484846                                            486477                                            XM_708691.2                                       176                                               8.00e-50                                          92/244                                            1632                                              449                                               Query= 2542894|NP_594678.2|chromosome I|N/A|-1|4686301|4689152|N/A|449|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[32, 266, '92/244 (38%)', '144/244 (59%)', 176.0, '8e-50'], [358, 425, '32/68 (47%)', '47/68 (69%)', 72.8, '3e-14']]
NC_032089.1                                       3634912                                           PFK26                                             1948142                                           1951585                                           XM_718346.2                                       105                                               1.00e-24                                          68/247                                            3444                                              449                                               Query= 2542894|NP_594678.2|chromosome I|N/A|-1|4686301|4689152|N/A|449|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[50, 266, '68/247 (28%)', '129/247 (52%)', 105.0, '1e-24']]
NC_032089.1                                       3644578                                           Unknown                                           432225                                            433841                                            XM_708668.2                                       143                                               1.00e-37                                          129/404                                           1617                                              511                                               Query= 2542849|NP_594675.1|chromosome I|klp8|1|4681264|4683243|N/A|511|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[5, 363, '129/404 (32%)', '203/404 (50%)', 143.0, '1e-37']]
NC_032089.1                                       3642032                                           KIP4                                              2626511                                           2629225                                           XM_711241.1                                       122                                               4.00e-30                                          123/424                                           2715                                              511                                               Query= 2542849|NP_594675.1|chromosome I|klp8|1|4681264|4683243|N/A|511|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[5, 417, '123/424 (29%)', '212/424 (50%)', 122.0, '4e-30']]
NC_032091.1                                       3641716                                           KIP3                                              1279891                                           1282809                                           XM_711501.1                                       119                                               7.00e-29                                          98/328                                            2919                                              511                                               Query= 2542849|NP_594675.1|chromosome I|klp8|1|4681264|4683243|N/A|511|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[40, 357, '98/328 (30%)', '157/328 (48%)', 119.0, '7e-29']]
NC_032096.1                                       3645261                                           KIP1                                              1393317                                           1396052                                           XM_707979.2                                       90                                                1.00e-19                                          101/407                                           2736                                              511                                               Query= 2542849|NP_594675.1|chromosome I|klp8|1|4681264|4683243|N/A|511|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[4, 358, '101/407 (25%)', '178/407 (44%)', 90.9, '1e-19']]
NC_032090.1                                       3644078                                           KAR3                                              1908759                                           1910822                                           XM_709178.2                                       88                                                6.00e-19                                          85/301                                            2064                                              511                                               Query= 2542849|NP_594675.1|chromosome I|klp8|1|4681264|4683243|N/A|511|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[61, 350, '85/301 (28%)', '142/301 (47%)', 88.2, '6e-19']]
NC_032090.1                                       3643954                                           KIP2                                              2125311                                           2127308                                           XM_709300.2                                       80                                                1.00e-16                                          89/324                                            1998                                              511                                               Query= 2542849|NP_594675.1|chromosome I|klp8|1|4681264|4683243|N/A|511|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[53, 356, '89/324 (27%)', '144/324 (44%)', 80.9, '1e-16']]
NC_032091.1                                       3636574                                           RKI1                                              315941                                            316663                                            XM_716680.2                                       273                                               3.00e-93                                          135/233                                           723                                               274                                               Query= 2542821|NP_594673.1|chromosome I|rki1|1|4675843|4678173|N/A|274|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[11, 240, '135/233 (58%)', '175/233 (75%)', 273.0, '3e-93']]
