Total unique genes matched: 18
Unique genes (alphabetical order):
apq12 (2541009)
arg12 (2541050)
clr4 (9839843)
clr4_custom (2540825)
eca39 (2540831)
fep1 (2541522)
met17 (2540849)
meu6 (2540776)
meu6 (9844152)
mlg1 (2540846)
mob1 (2540845)
N/A (2540818)
N/A (2540852)
N/A (2540972)
not2 (2538778)
pho4 (2540606)
rhb1 (2540853)
rxt2 (2540689)

Unique genes matched on chromosome NC_003421.2: 6
Unique genes matched on chromosome NC_003423.3: 16
Unique genes matched on chromosome NC_003424.3: 5

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_003423.3                                       2540689                                           rxt2                                              451027                                            453045                                            NM_001021092.3                                    415                                               9.00e-145                                         240/240                                           1691                                              240                                               Query= 2540689|NP_595184.2|chromosome II|rxt2|-1|451026|453044|N/A|240|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 240, '240/240 (100%)', '240/240 (100%)', 415.0, '9e-145']]
NC_003423.3                                       2541050                                           arg12                                             449440                                            451025                                            NM_001021091.3                                    833                                               0.0                                               410/410                                           1586                                              410                                               Query= 2541050|NP_595183.1|chromosome II|arg12|-1|449439|451024|N/A|410|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[1, 410, '410/410 (100%)', '410/410 (100%)', 833.0, '0.0']]
NC_003423.3                                       90821199                                          Unknown                                           450199                                            450410                                            NR_194082.1                                       149                                               6.00e-45                                          70/70                                             212                                               410                                               Query= 2541050|NP_595183.1|chromosome II|arg12|-1|449439|451024|N/A|410|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[199, 268, '70/70 (100%)', '70/70 (100%)', 149.0, '6e-45']]
NC_003423.3                                       14217648                                          Unknown                                           450808                                            451618                                            NR_150236.1                                       137                                               8.00e-38                                          65/65                                             811                                               410                                               Query= 2541050|NP_595183.1|chromosome II|arg12|-1|449439|451024|N/A|410|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[1, 65, '65/65 (100%)', '65/65 (100%)', 137.0, '8e-38']]
NC_003423.3                                       2541009                                           apq12                                             448934                                            449398                                            NM_001021090.3                                    224                                               1.00e-77                                          115/115                                           465                                               115                                               Query= 2541009|NP_595182.1|chromosome II|apq12|1|448933|449397|N/A|115|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 115, '115/115 (100%)', '115/115 (100%)', 224.0, '1e-77']]
NC_003423.3                                       2540606                                           pho4                                              445324                                            447028                                            NM_001021089.3                                    960                                               0.0                                               463/463                                           1705                                              463                                               Query= 2540606|NP_595181.1|chromosome II|pho4|-1|445323|447027|N/A|463|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 463, '463/463 (100%)', '463/463 (100%)', 960.0, '0.0']]
NC_003423.3                                       2540420                                           Unknown                                           2256557                                           2258340                                           NM_001021836.3                                    738                                               0.0                                               345/463                                           1784                                              463                                               Query= 2540606|NP_595181.1|chromosome II|pho4|-1|445323|447027|N/A|463|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 463, '345/463 (75%)', '403/463 (87%)', 738.0, '0.0']]
NC_003423.3                                       2541339                                           nc-pho1                                           4446359                                           4448918                                           NR_191364.1                                       530                                               0.0                                               264/454                                           2560                                              463                                               Query= 2540606|NP_595181.1|chromosome II|pho4|-1|445323|447027|N/A|463|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 454, '264/454 (58%)', '335/454 (74%)', 530.0, '0.0']]
NC_003423.3                                       90818466                                          pho1                                              4447506                                           4449053                                           NM_001431032.1                                    530                                               0.0                                               264/454                                           1548                                              463                                               Query= 2540606|NP_595181.1|chromosome II|pho4|-1|445323|447027|N/A|463|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 454, '264/454 (58%)', '335/454 (74%)', 530.0, '0.0']]
NC_003423.3                                       90822035                                          Unknown                                           2257576                                           2258347                                           NR_194918.1                                       239                                               1.00e-76                                          111/153                                           772                                               463                                               Query= 2540606|NP_595181.1|chromosome II|pho4|-1|445323|447027|N/A|463|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 153, '111/153 (73%)', '132/153 (86%)', 239.0, '1e-76']]
NC_003423.3                                       90823082                                          Unknown                                           4448619                                           4448841                                           NR_195965.1                                       115                                               5.00e-32                                          51/74                                             223                                               463                                               Query= 2540606|NP_595181.1|chromosome II|pho4|-1|445323|447027|N/A|463|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[365, 438, '51/74 (69%)', '62/74 (84%)', 115.0, '5e-32']]
